"CPR     ";"TPCOBRPGTOHAVER";"Tipo de cobrança parcela de haver";"1";"Tipo de cobrança utilizado para lançar a parcela de haver";"N";" ";0
"CPR     ";"SNRECIBOREGTRAN";"Emitir Recibo na Transferência Caixa/Banco?";"N";"Deve ser preenchido com "S" ou "N" para emitir ou não recibo na transferência caixa/bancos.";"S";" ";0
"CPR     ";"MODBOLMETANET  ";"Modelo do boleto Metanet";"";"Deve ser preenchido com o código do modelo do boleto. Pode ser:
- 1 para Carnê 
- 2 para Normal 
- 3 para 3 vias ";"N";" ";0
"CPR     ";"TPCHELIMITE    ";"Tipo de Checagem do Limite";"";"Esta opção se refere ao tipo de checagem do valor do limite de crédito do cliente, os valores válidos para esta opção são: T - comparar o valor do limite de crédito do cliente de acordo com a somatória de todas as contas que o cliente possui em aberto; M - comparar o valor do limite de crédito do cliente de acordo com a somatória de todas as contas que o cliente possui em aberto referentes ao mês do sistema.";"C";" ";0
"CPR     ";"LANCUTILIZHAVER";"Lançamento Utilização Haver";"115";"Código do lançamento que será utilizado para gravar a utilização do haver, ou seja, o que já utilizou de haver. Este lançamento deve ser de pagamento ou desconto.";"N";" ";0
"CPR     ";"QTDEDIASATRASO ";"Quantidade de Dias Tolerância no Atraso";"";"Esta opção pode ser preenchida com a quantidade de dias para tolerância das contas recebidas em atraso.";"N";" ";0
"CPR     ";"DATAEFEPREVISAO";"Data considerada na efetivação da previsão";"V";"Data a ser considerada na efetivação da previsão. Pode ser "V" para considerar a data do vencimento ou "E" para considerar a emissão.";"C";" ";0
"CPR     ";"SNSAIDACXA     ";"Permite Registrar Saída no Caixa?";"S";"Se preenchido com "N" não será permitido registrar lançamento de débito no Caixa.";"S";" ";0
"CPR     ";"REGISTROANS    ";"Número de Registro ANS";"";"Pode ser preenchido com o número de registro da empresa na agencia nacional de saúde.";"C";" ";0
"CPR     ";"NATUREZAPAGACR ";"Natureza Acréscimo Padrão Contas a Pagar";"";"Código da natureza padrão para listar os lançamentos de acréscimo das contas a pagar no relatório estatística por centro de custo.";"C";" ";0
"CPR     ";"SNCAIXABANCO   ";"Trabalha com Caixas/Bancos";"S";"Deve ser preenchido com "S" para empresa que controla Caixas/Bancos ou  com  "N"  para  aempresa que não trabalha com Caixas/Bancos.";"S";" ";0
"CPR     ";"SNACEITEREC    ";"Exige Aceite de Conta a Receber";"N";"Se esta opção estiver preenchida com "S" o usuário só poderá efetuar baixa de contas a receber que possuem data de aceite ou se o usuário tiver permissão para registrar o aceite das contas a receber(Esta permissão é registrada no cadastro de permissões do usuário). Se estiver preenchida com "N" não será verificado a data de aceite da conta durante a baixa.";"S";" ";0
"CPR     ";"SNBOXCHENOMINAL";"Apresentar box para informar Cheque Nominal?";"N";"Se preenchido com "S" será apresentado um box para informar o nome a quem  o  chequeserá nominal. É utilizado na emissão de cheque que é chamado no momento da  baixa deconta que será lançado no banco ou no momento do registro de um lançamento no banco.Obs: O sistema só emite cheque se estiver marcado no Histórico do Caixas/Bancos para emitir cheque.";"S";" ";0
"CPR     ";"HISTORICOREC   ";"Códigos dos históricos para filtro do relatório";"";"Pode ser informado os códigos dos históricos para serem filtrados no relatório de movimentação de receita do caixa. Informar os códigos separados por ;    Ex: 1;5;150;3;4;";"C";" ";0
"CPR     ";"SNCONPAGLIMCRED";"Abater Valor a Pagar Limite do Cliente";"N";"Parâmetro utilizado na verificação do limite de crédito do cliente, se estiver preenchido com "S" o valor das contas a pagar do cliente será abatido do valor do limite de crédito do cliente.";"S";" ";0
"CPR     ";"INTFINCBL      ";"Integração com Contabilidade";"N";"Dever ser preenchido com "S" se o sistema possuir integração com o sistema de contabilidadee com "N" se não possuir.";"S";" ";0
"CPR     ";"SNCOPPROOBSCON ";"Copiar produtos para observação da conta a pagar";"N";"Determina se deve copiar ou não os produtos da nota de entrada para a observação da conta a pagar";"S";" ";0
"CPR     ";"SNEXCLUICONQUI ";"Excluir Conta com Baixa";"S";"Deve ser preenchido com "S" para permitir excluir conta que já tenha algum lançamento de Baixa, com "N" para não permitir excluir conta que já tenha algum lançamento de Baixa, ou com "A" para mostrar uma advertência ao tentar excluir.";"C";" ";0
"CPR     ";"DTFINIMPLAN    ";"Data de Implantação do Financeiro";"31/01/2014";"Deve ser preenchido com o dia da implantação do sistema financeiro. Só serápermitido registrar lançamentos com data posterior a informada neste campo.O formato do campo é DD/MM/AAAA.";"D";" ";0
"CPR     ";"NATUREZARECDES ";"Natureza Desconto Padrão Contas a Receber";"";"Código da natureza padrão para listar os lançamentos de desconto das contas a receber no relatório estatística por centro de custo.";"C";" ";0
"CPR     ";"QTCONTAABESUS  ";"Quantidade Mínima de Contas em Aberto";"";"Este campo pode ser preenchido com a quantidade mínima de contas vencidas em aberto necessarias para que seja feita a suspensão do cliente. Se este campo não for preenchdido serão suspensos os clientes com qualquer quantidade de contas vencidas em aberto.";"N";" ";0
"CPR     ";"NOULTRECIBO    ";"Número do Último recibo impresso";"0";"Deve ser preenchido com o número do último recibo que foi impresso.  É  utilizadopara calcular o número do próximo recibo no momento da emissão do recibo.";"N";" ";0
"CPR     ";"SNALTLANCPR    ";"Permite Alt. Mov. contas/caixas por outro usuários";"S";"Opção utilizada para permitir ou não que movimentação do contas e caixas/bancos possam ser alterados por usuário diferente do que fez a inclusão.O usuário deve ter permissão cadastrada para alterar sempre.";"S";" ";0
"CPR     ";"EXIGIRDTEMISSAO";"Exigir data emissão consulta de contas";"N";"Indica se na consulta de contas pagar/receber será exigido o intervalo de data de emissão para consulta.";"S";" ";0
"CPR     ";"SNCONSFILVEND  ";"Consistir filial utilizada com filial do vendedor";"S";"Indica se será verificado se a filial registrada para o vendedor é igual a que esta sendo utilizada para registrar a conta pagar/receber ou as notas de entrada e saída.";"S";" ";0
"CPR     ";"SNEMISSAODUP   ";"Permite emissão duplicada por cliente";"S";"Se preenchido com "N" não será permitido registrar conta a receber duplicada para o mesmo cliente e mês/ano de emissão.";"S";" ";0
"CPR     ";"HISTORICOREC2  ";"Complemento históricos filtro relatório receita";"";"Pode ser informado os códigos dos históricos para serem filtrados no relatório de movimentação de receita do caixa. Informar os códigos separados por ;    Ex: 1;5;150;3;4;";"C";" ";0
"CPR     ";"SNRECIBOREGLAN ";"Emitir Recibo no Registro de Lançamento no Caixa?";"N";"Deve ser preenchido com "S" ou "N" para emitir ou não recibo no registro de lançamento no Caixa.";"S";" ";0
"CPR     ";"TPCODBARCPAG   ";"Tipo de Código de Barras";"S";"Tipo do código de barras para digitação das contas a pagar para cobrança eletrônica. Pode ser "S" para considerar o código de barras separado no modelo da linha digitável ou "J" para que fique tudo em um único campo.";"C";" ";0
"CPR     ";"SNADVERTVENUTIL";"Adv p/ incl conta com vencimento em dia não útil";"N";"Esta opção deve ser preenchida com "S" se for para dar uma advertência quando o vencimento da conta que esta sendo incluída não for um dia útil. Será mostrado um box com a data do próximo dia útil.";"S";" ";0
"CPR     ";"SENCONCILIADORA";"Senha de acesso Conciliadora";"";"Deve ser preenchido com a senha da empresa na conciliadora";"C";" ";0
"CPR     ";"TPCONADIANTAMEN";"Tipo de Conta Adiantamento";"";"Pode ser preenchido com um código de tipo de conta  para selecionar as contas durante a baixa das contas para o lançamento das contas de adiantamento.";"N";" ";0
"CPR     ";"SNCADUSUCXABCO ";"Cadastrar Caixa/Banco após registro para todos os";"S";"Deve ser preenchido com "S" para cadastrar Caixa/Banco após registro para todos os Usuários como consulta";"C";" ";0
"CPR     ";"PCJUROS        ";"Percentual de Juros ao Mês";"";"Deve ser preenchido com o percentual de juros por mês que deve ser cobrado das contas recebidas após o vencimento.";"V";" ";0
"CPR     ";"PCMULTA        ";"Percentual de Multa";"";"Deve ser preenchido com o percentual de multa que deve ser cobrado das contas recebidas após o vencimento.";"V";" ";0
"CPR     ";"SNCONTACLICANC ";"Permite reg contas receber para cliente cancelado";"S";"Se este campo estiver preenchido com "N" não será permitido registrar contas a receber para clientes cancelados. Caso o usuário informe um cliente cancelado durante o registro da conta a receber será mostrado uma mensagem de erro.";"S";" ";0
"CPR     ";"DESCDTLIBPGTO  ";"Descrição da Data de Liberação de Pagamento";"Liberação Pagto";"Descrição do Campo Data de Liberação do Pagamento a ser apresentada na Alteração de Contas";"C";" ";0
"CPR     ";"SNCHEREGLAN    ";"Emitir Cheque no Registro de Lançamento no Banco?";"N";"Deve ser preenchido com "S" ou "N" para emitir ou não cheque no Registro de lançamento no banco.";"S";" ";0
"CPR     ";"TIPOCONTAMENSAL";"Tipo de Conta Desconto por Categoria";"";"Pode ser informado os códigos dos tipos de conta que possuem desconto por categoria, na tela de baixa será verificado para as contas registradas com este tipo de conta se há desconto por categoria. Informar os códigos separados por ; Ex: 1;5;150;3;4;";"C";" ";0
"CPR     ";"SNSITUACBAIXA  ";"Voltar situação do Cliente na baixa da conta";"N";"Se esta opção estiver preenchida com "S" durante a baixa das contas o sistema deve executar a rotina para voltar a situação dos clientes em atraso para normal, respeitando os devidos critérios.";"S";" ";0
"CPR     ";"TIPODOCDUPREC  ";"Permite Reg Contas Receber com mesmo Nº Documento";"";"Valores válidos para este opção: " " - Não faz nenhuma verificação para o número de documento durante o registro da conta a receber; 1 - Não permite registrar conta a receber com o mesmo número de documento ou 2 - Não permite registrar conta a receber com o mesmo número de documento e cliente.";"C";" ";0
"CPR     ";"SNCARACCRREM   ";"Incluir Quebra de linha no arquivo de Remessa";"N";"Determina se o arquivo de remessa deve ter   caracter de quebra de linha no final de cada registrou ou não. Deve ser "S" quando os registros estiverem sendo gerados todos em uma única linha";"S";" ";0
"CPR     ";"EXIGIRCADPERUSU";"Exigir cadastro de permissão para usuário";"N";"Esta opção é utlizada para exigir que seja incluida para cada usuário as permissões para registro, alteração e exclusão de contas assim como de  lançamentos do contas e do caixas/bancos. Caso esteja com "S" o usuário que não for registrado em Caixas/Bancos » Cadastros Básicos » Permissões Usuários não terá permissão para fazer qualquer lançamento no contas ou no caixas/bancos.";"S";" ";0
"CPR     ";"SNPEDOBSBOLETO ";"Gravar pedidos na observação do boleto";"N";"Determina se deve gravar na observação da conta (boleto) o número dos pedidos que são referentes a nota fiscal emitida na qual gerou o boleto. Quando este parâmetro for "S" será solicitado o número dos documentos no box de emissão de boleto.";"S";" ";0
"CPR     ";"SNNOAUTRENEG   ";"Exigir Nº Autorização para Tipo Cobr. na renegocia";"N";"Determina se exige ou não o número da autorização para tipo de cobrança cartão na tela de renegociação";"S";" ";0
"CPR     ";"SNLOGCONTAS    ";"Armazenar Log Alteração Contas Pagar/Receber";"S";"Determia se será gravado o log das alterações feitas nas contas a pagar e a receber assim como no lançamentos e rateios da conta";"S";" ";0
"CPR     ";"SNAGRUPACONC   ";"Agrupa contas conciliação cartão";"";"Define se as contas serão agrupadas ou não por cliente ao enviar para a conciliação de cartão.";"C";" ";0
"CPR     ";"PCDESCANTECIP  ";"Percentual de desconto contas antecipadas";"";"Esta opção pode ser preenchida com um percentual mensal de desconto que será aplicado sobre contas recebidas antecipadamente.";"V";" ";0
"CPR     ";"SNMOSTRARCONREG";"Mostrar Contas Registradas";"N";"Se este campo estiver preenchido com S logo apoós o registro das contas será mostrado tela para consulta das contas incluídas.";"S";" ";0
"CPR     ";"CAMLIVCONSCONTA";"Tipo de Campo Consulta de Contas";"T";"Determina o campo que será apresentado na consulta de conta. Pode ser: C - para centro de custo, T - para tipo de cobrança, E - espécie, V - vendedor  ou O - tipo de conta";"C";" ";0
"CPR     ";"DTCPRFECHAMENTO";"Data de Fechamento do Contas Pagar/Receber";"";"Pode ser preenchido com a data do fechamento do contas pagar/receber. Se informadoo sistema não permitirá registrar lançamentos de contas anteriores a esta data.O formato do campo é DD/MM/AAAA.";"D";" ";0
"CPR     ";"TPCOBADIANTAMEN";"Tipo de Cobrança Adiantamento";"";"Pode ser preenchido com um código de tipo de cobrança para selecionar as contas durante a baixa das contas para o lançamento das contas de adiantamento.";"N";" ";0
"CPR     ";"TRNHAVER       ";"Transação haver lançamento automático c.receber";"";"Indica o código da transação que será registrado o haver automaticamente ao registrar uma conta a receber quando a espécie dessa conta for de haver.";"C";" ";0
"CPR     ";"TPNOTCONTAVENC ";"Tipo de notificação de conta vencida.";"";"Tipo de notificação de conta vencida. Determina se será enviado email para os usuários cadastrados na permissão 41 ou se será apresentado ao entrar no sistema. Pode ser E para email ou C para consulta. Se for utilizar a opção email o usuário deve ter email registrado.";"C";" ";0
"CPR     ";"TIPOHAVER      ";"Tipo de Haver";"V";"Tipo de haver, podendo ser Contas ou Vendas";"C";" ";0
"CPR     ";"NATUREZAPADREC ";"Código da Natureza do Registro de Contas a Receber";"01.00.00";"Pode ser informado o código da natureza para trazer preenchido como sugestão na tela de registro de contas a receber. O sistema traz primeiro como sugestão o que está preenchido no cadastro de transação, caso este esteja em branco o sistema deve trazer a natureza deste parâmetro.";"C";" ";0
"CPR     ";"SNDOCDUPCXABCO ";"Permite Documento Duplicado Caixas/Bancos";"S";"Se preenchido com "N" não será permitido registrar lançamento no caixas/bancos com númerode documento repetido.";"S";" ";0
"CPR     ";"SNALTCLIFORBAI ";"Alterar Nome do Favorecido na Baixa";"N";"Esta opção é utilizada para permitir ou negar a alteração do Favorecido (Cliente/Fornecedor) da Baixa de Contas.";"S";" ";0
"CPR     ";"DTFINABERTO    ";"Dia Aberto Financeiro";"31/12/2020";"Deve ser preenchido com último dia do mês aberto no sistema Financeiro. Só será permitido registrar lançamentos com data anterior a informada neste campo.O formato do campo é DD/MM/AAAA.";"D";" ";0
"CPR     ";"SNAGRUCONTAREC ";"Agrupa contas baixa receber";"N";"Agrupar contas na baixa de contas a receber. Deve ser S ou N.";"C";" ";0
"CPR     ";"QTCONTAABEREM  ";"Quantidade Mínima de Contas em Aberto";"";"Este campo pode ser preenchido com a quantidade mínima de contas vencidas em aberto necessarias para que o cliente não seja enviado no arquivo de remessa de cobrança.";"N";" ";0
"CPR     ";"QTMINCONATRASO ";"Quantidade Mínima de Contas Quitadas";"";"Este campo pode ser preenchido com a quantidade mínima de dias de atraso no pagamento das contas quitadas para que seja feita  a suspensão dos clientes. Se deixado em branco não serão considerados os pagamentos efetuados em atraso.";"N";" ";0
"CPR     ";"TPNOMEGRIDBAIXA";"Tipo Nome Tela de Baixa";"F";"Determina qual nome será apresentado na tela de baixa. Pode ser R para apresentar a razão social ou F para trazer a fantasia.";"C";" ";0
"CPR     ";"SNCHECLIMREGCON";"Checar Limite de Crédito no registro da Conta?";"N";"Utilizado para indicar ao sistema se deverá checar o limite de crédito do clienteno momento do registro  da conta a receber. Se preenchido com "S" o  sistema  nãopermitirá registrar conta  se ultrapassar o limite de crédito do cliente que estáregistrado no cadastro de pessoas.";"S";" ";0
"CPR     ";"SNLOGLANCXABCO ";"Armazenar Log Alteração Lancmto Caixas/Bancos";"S";"Determia se será gravado o log das alterações feitas nos lançamentos dos caixas/bancos assim como no rateio e no saldo dos caixas/bancos";"S";" ";0
"CPR     ";"SNVLRATUALCONCI";"Enviar Valor Atual Remessa Conciliadora";"N";"Se este parâmetro estiver preenchido com "S" ao enviar a conta para a conciliadora será considerado o valor atual da conta, ou seja, conta com acréscimo/desconto não será impressa como erro e do contrário será enviado o valor de inclusão da conta, desta forma conta com acréscimo/desconto será impressa como erro";"S";" ";0
"CPR     ";"SNFATDUPPAG    ";"Permite Reg Contas Pagar com o mesmo Nº Fatura";"S";"Os valores válidos para este campo são "S" ou "N". Se preenchido com "S" será permitido registrar contas a pagar com o mesmo número de fatura e se preenchido com "N" não será permitido.";"S";" ";0
"CPR     ";"SNCAPITAACRESC ";"Capitalizar Juros?";"N";"Esta opção deve ser preenchida com "S" para que a taxa de juros de contas recebidas com atraso seja capitalizada mensalmente.";"S";" ";0
"CPR     ";"LANCDESCHAVER  ";"Lançamento Desconto Haver";"116";"Código lançamento que será utilizado para gravar nas contas que obtiveram desconto aproveitando haver.";"N";" ";0
"CPR     ";"TIPODOCDUPPAG  ";"Permite Reg Contas Pagar com o mesmo Nº Documento";"";"Valores válidos para este opção: " " - Não faz nenhuma verificação para o número de documento durante o registro da conta a pagar; 1 - Não permite registrar conta a pagar com o mesmo número de documento ou 2 - Não permite registrar conta a pagar com o mesmo número de documento e fornecedor.";"C";" ";0
"CPR     ";"SNAGRUPACONREN ";"Renegociação vem marcada a opção Agrupar";"N";"Deve ser "S" ou "N" para a opção de agrupar vir marcada ou não na tela de renegociação.";"S";" ";0
"CPR     ";"QTDIABOLVENCIDO";"Dias úteis do vencimento do boleto via site";"0";"Quantidade de dias para calcular o novo vencimento de boleto ao atualizar o valor/vencimento.";"N";" ";0
"CPR     ";"NATUREZARECACR ";"Natureza Acréscimo Padrão Contas a Receber";"";"Código da natureza padrão para listar os lançamentos de acréscimo das contas a receber no relatório estatística por centro de custo.";"C";" ";0
"CPR     ";"SNREMESSACPAGAR";"Utiliza Remessa de Contas a Pagar";"N";"Este campo deve ser preenchido com S quando a empresa utiliza remessa de contas a pagar. Quando esta opção estiver preenchida com S o parâmetro SNMOSTRARCONREG deve estar preenchido com S.";"S";" ";0
"CPR     ";"CONSISTEPARCELA";"Utiliza Parcela";"S";"Deverá ser preenchido com "S" caso a empresa utilize Pacela";"C";" ";0
"CPR     ";"MODRECIBODEBITO";"Modelo de Recibo para Lançamento de débito no caix";"5";"Deve ser preenchido com o código do modelo de recibo que deve ser impresso quando for registrado um lançamento de débito no caixas/bancos. Este parâmetro é utilizado na emissão do recibo pela tela de registrar lançamentos.";"N";" ";0
