 CEST;NCM/ST;Descricao CEST
0105400;85110000,85111000,85112010,85112090,85113010,85113020,85114000,85115010,85115090,85118010,85118020,85118030,85118090,85119000;APARELHOS E DISPOSITIVOS ELETRICOS DE IGNICAO OU DE ARRANQUE PARA MOTORES DE IGNICAO POR CENTELHA OU POR COMPRESSAO (POR EXEMPLO, MAGNETOS, DINAMOS-MAGNETOS, BOBINAS DE IGNICAO, VELAS DE IGNICAO OU DE AQUECIMENTO, MOTORES DE ARRANQUE), GERADORES (DINAMOS E ALTERNADORES, POR EXEMPLO) E CONJUNTORES-DISJUNTORES UTILIZADOS COM ESTES MOTORES
0105500;85122000,85122011,85122019,85122021,85122022,85122023,85122029,85124000,85124010,85124020,85129000;APARELHOS ELETRICOS DE ILUMINACAO OU DE SINALIZACAO (EXCETO OS DA POSICAO 8539), LIMPADORES DE PARA-BRISAS, DEGELADORES E DESEMBACADORES (DESEMBACIADORES) ELETRICOS E SUAS PARTES
0105600;85171213;TELEFONES MOVEIS DO TIPO DOS UTILIZADOS EM VEICULOS AUTOMOVEIS.
0105700;85180000,85181010,85181090,85182100,85182200,85182910,85182990,85183000,85184000,85189010,85189090;ALTO-FALANTES, AMPLIFICADORES ELETRICOS DE AUDIOFREQUENCIA E PARTES
0105800;85185000;APARELHOS ELETRICOS DE AMPLIFICACAO DE SOM PARA VEICULOS AUTOMOTORES
0105900;85198100,85198110,85198120;APARELHOS DE REPRODUCAO DE SOM
0106000;85255010,85255011,85255012,85255019,85256010;APARELHOS TRANSMISSORES (EMISSORES) DE RADIOTELEFONIA OU RADIOTELEGRAFIA (RADIO RECEPTOR/TRANSMISSOR)
0106100;85272100,85272110,85272190;APARELHOS RECEPTORES DE RADIODIFUSAO QUE SO FUNCIONEM COM FONTE EXTERNA DE ENERGIA COMBINADOS COM UM APARELHO DE GRAVACAO OU DE REPRODUCAO DE SOM, DO TIPO UTILIZADO EM VEICULOS AUTOMOVEIS
0106200;85272900;OUTROS APARELHOS RECEPTORES DE RADIODIFUSAO QUE SO FUNCIONEM COM FONTE EXTERNA DE ENERGIA, DO TIPO UTILIZADO EM VEICULOS AUTOMOVEIS
0106201;85219090;OUTROS APARELHOS VIDEOFONICOS DE GRAVACAO OU DE REPRODUCAO, MESMO INCORPORANDO UM RECEPTOR DE SINAIS VIDEOFONICOS, DOS TIPOS UTILIZADOS EXCLUSIVAMENTE EM VEICULOS AUTOMOTORES
0106300;85291090;ANTENAS
0106400;85340000,85340011,85340012,85340013,85340019,85340020,85340031,85340032,85340033,85340039,85340040,85340051,85340059;CIRCUITOS IMPRESSOS
0106500;85353000,85353013,85353017,85353018,85353019,85353023,85353027,85353028,85353029,85365000;INTERRUPTORES E SECCIONADORES E COMUTADORES
0106600;85361000;FUSIVEIS E CORTA-CIRCUITOS DE FUSIVEIS
0106700;85362000;DISJUNTORES
0106800;85364000,85364100,85364900;RELES
0106900;85380000,85381000,85389010,85389020,85389090;PARTES RECONHECIVEIS COMO EXCLUSIVAS OU PRINCIPALMENTE DESTINADOS AOS APARELHOS DOS CEST 01.065.00, 01.066.00, 01.067.00 E 01.068.00
0107000;85391000,85391010,85391090;FAROIS E PROJETORES, EM UNIDADES SELADAS
0107100;85392000,85392110,85392190,85392200,85392910,85392990;LAMPADAS E TUBOS DE INCANDESCENCIA, EXCETO DE RAIOS ULTRAVIOLETA OU INFRAVERMELHOS
0107200;85442000;CABOS COAXIAIS E OUTROS CONDUTORES ELETRICOS COAXIAIS
0107300;85443000;JOGOS DE FIOS PARA VELAS DE IGNICAO E OUTROS JOGOS DE FIOS
0107400;87070000,87071000,87079010,87079090;CARROCARIAS PARA OS VEICULOS AUTOMOVEIS DAS POSICOES 8701 A 8705, INCLUIDAS AS CABINAS
0107500;87080000,87081000,87082100,87082911,87082912,87082913,87082914,87082919,87082991,87082992,87082993,87082994,87082995,87082999,87083011,87083019,87083090,87084011,87084019,87084080,87084090,87085011,87085012,87085019,87085080,87085091,87085099,87087010,87087090,87088000,87089100,87089200,87089300,87089411,87089412,87089413,87089481,87089482,87089483,87089490,87089510,87089521,87089522,87089529,87089910,87089990;PARTES E ACESSORIOS DOS VEICULOS AUTOMOVEIS DAS POSICOES 8701 A 8705
0107600;87141000;PARTE E ACESSORIOS DE MOTOCICLETAS (INCLUIDOS OS CICLOMOTORES)
0107700;87169090;ENGATES PARA REBOQUES E SEMIRREBOQUES
0107800;90261000,90261011,90261019,90261021,90261029;MEDIDORES DE NIVEL, MEDIDORES DE VAZAO
0107900;90262000,90262010,90262090;APARELHOS PARA MEDIDA OU CONTROLE DA PRESSAO
0108000;90290000,90291010,90291090,90292010,90292020,90299010,90299090;CONTADORES, INDICADORES DE VELOCIDADE E TACOMETROS, SUAS PARTES E ACESSORIOS
0108100;90303321;AMPERIMETROS
0108200;90318040;APARELHOS DIGITAIS, DE USO EM VEICULOS AUTOMOVEIS, PARA MEDIDA E INDICACAO DE MULTIPLAS GRANDEZAS TAIS COMO  VELOCIDADE MEDIA, CONSUMOS INSTANTANEO E MEDIO E AUTONOMIA (COMPUTADOR DE BORDO)
0108300;90328920,90328921,90328922,90328923,90328924,90328925,90328929;CONTROLADORES ELETRONICOS
0108400;91040000;RELOGIOS PARA PAINEIS DE INSTRUMENTOS E RELOGIOS SEMELHANTES
0108500;94012000,94019090;ASSENTOS E PARTES DE ASSENTOS
0108600;96138000;ACENDEDORES
0108700;40090000,40091100,40091210,40091290,40092110,40092190,40092210,40092290,40093100,40093210,40093290,40094100,40094210,40094290;TUBOS DE BORRACHA VULCANIZADA NAO ENDURECIDA, MESMO PROVIDOS DE SEUS ACESSORIOS
0108800;45049000,68129910;JUNTAS DE VEDACAO DE CORTICA NATURAL E DE AMIANTO
0108900;48234000;PAPEL-DIAGRAMA PARA TACOGRAFO, EM DISCO
0109000;39191000,39191010,39191020,39191090,39199000,87082999;FITAS, TIRAS, ADESIVOS, AUTOCOLANTES, DE PLASTICO, REFLETORES, MESMO EM ROLOS, PLACAS METALICAS COM PELICULA DE PLASTICO REFLETORA, PROPRIAS PARA COLOCACAO EM CARROCERIAS, PARA-CHOQUES DE VEICULOS DE CARGA, MOTOCICLETAS, CICLOMOTORES, CAPACETES, BONES DE AGENTES DE TRANSITO E DE CONDUTORES DE VEICULOS, ATUANDO COMO DISPOSITIVOS REFLETIVOS DE SEGURANCA RODOVIARIOS
0109100;84123110;CILINDROS PNEUMATICOS
0109200;84131900,84135090,84138100;BOMBA ELETRICA DE LAVADOR DE PARA-BRISA
0109300;84136019,84137010;BOMBA DE ASSISTENCIA DE DIRECAO HIDRAULICA
0109400;84145910,84145990;MOTOVENTILADORES
0109500;84213990;FILTROS DE POLEN DO AR-CONDICIONADO
0109600;85011019;OMAQUINA” DE VIDRO ELETRICO DE PORTA
0109700;85013110;MOTOR DE LIMPADOR DE PARA-BRISA
0109800;85045000;BOBINAS DE REATANCIA E DE AUTOINDUCAO
0109900;85072000,85072010,85072090,85073000,85073011,85073019,85073090;BATERIAS DE CHUMBO E DE NIQUEL-CADMIO
0110000;85123000;APARELHOS DE SINALIZACAO ACUSTICA (BUZINA)
0110100;90328980,90328981,90328982,90328983,90328984,90328989,90328990;INSTRUMENTOS PARA REGULACAO DE GRANDEZAS NAO ELETRICAS
0110200;90271000;ANALISADORES DE GASES OU DE FUMACA (SONDA LAMBDA)
0110300;40081100;PERFILADOS DE BORRACHA VULCANIZADA NAO ENDURECIDA
0110400;56012219;ARTEFATOS DE PASTA DE FIBRA DE USO AUTOMOTIVO
0110500;57032000;TAPETES/CARPETES - NAILON
0110600;57033000;TAPETES DE MATERIAS TEXTEIS SINTETICAS
0110700;59119000;FORRACAO INTERIOR CAPACETE
0110800;69039099;OUTROS PARA-BRISAS
0110900;70072900;MOLDURA COM ESPELHO
0111000;73145000;CORRENTE DE TRANSMISSAO
0111100;73151100;CORRENTE TRANSMISSAO
0111200;73151210;OUTRAS CORRENTES DE TRANSMISSAO
0111300;84189900;CONDENSADOR TUBULAR METALICO
0111400;84195000,84195010,84195021,84195022,84195029,84195090;TROCADORES DE CALOR
0111500;84249090;PARTES DE APARELHOS MECANICOS DE PULVERIZAR OU DISPERSAR
0111600;84254910;MACACOS MANUAIS PARA VEICULOS
0111700;84314100;CACAMBAS, PAS, GANCHOS E TENAZES PARA MAQUINAS RODOVIARIAS
0111800;85016100;GERADORES DE CORRENTE ALTERNADA DE POTENCIA NAO SUPERIOR A 75 KVA
0111900;85311090;APARELHOS ELETRICOS PARA ALARME DE USO AUTOMOTIVO
0112000;90141000;BUSSOLAS
0112100;90251990;INDICADORES DE TEMPERATURA
0112200;90259010;PARTES DE INDICADORES DE TEMPERATURA
0112300;90269000,90269010,90269020,90269090;PARTES DE APARELHOS DE MEDIDA OU CONTROLE
0112400;90321010;TERMOSTATOS
0112500;90321090;INSTRUMENTOS E APARELHOS PARA REGULACAO
0112600;90322000;PRESSOSTATOS
0112700;87169000,87169010;PECAS PARA REBOQUES E SEMIRREBOQUES, EXCETO OS ITENS CLASSIFICADOS NO CEST 01.077.00
0112800;73229010;GERADORES DE AR QUENTE A COMBUSTIVEL LIQUIDO, COM CAPACIDADE SUPERIOR OU IGUAL A 1.500 KCAL/H, MAS INFERIOR OU IGUAL A 10.400 KCAL/H, DO TIPO DOS UTILIZADOS EM VEICULOS AUTOMOVEIS
0199900;;OUTRAS PECAS, PARTES E ACESSORIOS PARA VEICULOS AUTOMOTORES NAO RELACIONADOS NOS DEMAIS ITENS DESTE ANEXO
0200100;22050000,22051000,22059000,22089000;APERITIVOS, AMARGOS, BITTER E SIMILARES
0200200;22089000;BATIDA E SIMILARES
0200300;22089000;BEBIDA ICE
0200400;22072000,22072011,22072019,22072020,22084000;CACHACA E AGUARDENTES
0200500;22050000,22060090,22089000;CATUABA E SIMILARES
0200600;22082000;CONHAQUE, BRANDY E SIMILARES
0200700;22060090,22089000;COOLER
0200800;22085000;GIM (GIN) E GENEBRA
0200900;22050000,22060090,22089000;JURUBEBA E SIMILARES
0201000;22087000;LICORES E SIMILARES
0201100;22082000;PISCO
0201200;22084000;RUM
0201300;22060090;SAQUE
0201400;22089000;STEINHAEGER
0201500;22089000;TEQUILA
0201600;22083000,22083010,22083020,22083090;UISQUE
0201700;22050000;VERMUTE E SIMILARES
0201800;22086000;VODKA
0201900;22089000;DERIVADOS DE VODKA
0202000;22089000;ARAK
0202100;22082000;AGUARDENTE VINICA / GRAPPA
0202200;22060010;SIDRA E SIMILARES
0202300;22050000,22060090,22089000;SANGRIAS E COQUETEIS
0202400;22040000,22041010,22041090,22042100,22042211,22042219,22042220,22042910,22042911,22042919,22042920,22043000;VINHOS DE UVAS FRESCAS, INCLUINDO OS VINHOS ENRIQUECIDOS COM ALCOOL, MOSTOS DE UVAS.
0299900;22050000,22060000,22070000,22080000;OUTRAS BEBIDAS ALCOOLICAS NAO ESPECIFICADAS NOS ITENS ANTERIORES
0300100;22011000;AGUA MINERAL, GASOSA OU NAO, OU POTAVEL, NATURAIS, EM GARRAFA DE VIDRO, RETORNAVEL OU NAO, COM CAPACIDADE DE ATE 500 ML
0300200;22011000;AGUA MINERAL, GASOSA OU NAO, OU POTAVEL, NATURAIS, EM EMBALAGEM COM CAPACIDADE IGUAL OU SUPERIOR A 5.000 ML
0300300;22011000;AGUA MINERAL, GASOSA OU NAO, OU POTAVEL, NATURAIS, EM EMBALAGEM DE VIDRO, NAO RETORNAVEL, COM CAPACIDADE DE ATE 300 ML
0300400;22011000;AGUA MINERAL, GASOSA OU NAO, OU POTAVEL, NATURAIS, EM GARRAFA PLASTICA DE 1.500 ML
0300500;22011000;AGUA MINERAL, GASOSA OU NAO, OU POTAVEL, NATURAIS, EM COPOS PLASTICOS E EMBALAGEM PLASTICA COM CAPACIDADE DE ATE 500 ML
0300600;22011000;OUTRAS AGUAS MINERAIS, POTAVEIS OU NATURAIS, GASOSAS OU NAO, INCLUSIVE GASEIFICADAS
0300700;22021000;AGUAS MINERAIS, POTAVEIS OU NATURAIS, GASOSAS OU NAO, INCLUSIVE GASEIFICADAS OU AROMATIZADAS ARTIFICIALMENTE, EXCETO OS REFRESCOS E REFRIGERANTES
0300800;22029900;OUTRAS AGUAS MINERAIS, POTAVEIS OU NATURAIS, GASOSAS OU NAO, INCLUSIVE GASEIFICADAS OU AROMATIZADAS ARTIFICIALMENTE
0301000;22020000,22029000;REFRIGERANTE EM GARRAFA COM CAPACIDADE IGUAL OU SUPERIOR A 600 ML
0301100;22020000;DEMAIS REFRIGERANTES
0301101;22020000;ESPUMANTES SEM ALCOOL;
0301200;21069010;XAROPE OU EXTRATO CONCENTRADO DESTINADOS AO PREPARO DE REFRIGERANTE EM MAQUINA OPRE-MIX” OU OPOST-MIX”
0301300;21069000,21069021,21069029,21069030,21069040,21069050,21069060,21069090,22029900;BEBIDAS ENERGETICAS EM EMBALAGEM COM CAPACIDADE INFERIOR A 600ML
0301400;21069000,22029900;BEBIDAS ENERGETICAS EM EMBALAGEM COM CAPACIDADE IGUAL OU SUPERIOR A 600ML
0301500;21069000,22029900;BEBIDAS HIDROELETROLITICAS (ISOTONICAS) EM EMBALAGEM COM CAPACIDADE INFERIOR A 600ML
0301600;21069000,22029000;BEBIDAS HIDROELETROLITICAS (ISOTONICAS) EM EMBALAGEM COM CAPACIDADE IGUAL OU SUPERIOR A 600ML
0302100;22030000;CERVEJA
0302200;22029100;CERVEJA SEM ALCOOL
0302300;22030000;CHOPE
0302400;22011000;AGUA MINERAL EM EMBALAGENS RETORNAVEIS COM CAPACIDADE IGUAL OU SUPERIOR A 10 (DEZ) E INFERIOR A 20 (VINTE) LITROS;FABRICADOS EM ESCALA INDUSTRIAL NAO RELEVANTE
0302500;22011000;AGUA MINERAL EM EMBALAGENS RETORNAVEIS COM CAPACIDADE IGUAL OU SUPERIOR A 20 (VINTE) LITROS;FABRICADOS EM ESCALA INDUSTRIAL NAO RELEVANTE
0400100;24020000,24021000,24022000,24029000;CHARUTOS, CIGARRILHAS E CIGARROS, DE TABACO OU DOS SEUS SUCEDANEOS
0400200;24031000,24031100,24031900;TABACO PARA FUMAR, MESMO CONTENDO SUCEDANEOS DE TABACO EM QUALQUER PROPORCAO
0500100;25230000,25231000,25232100,25232910,25232990,25233000,25239000;CIMENTO
0600100;22071010;ALCOOL ETILICO NAO DESNATURADO, COM UM TEOR ALCOOLICO EM VOLUME IGUAL OU SUPERIOR A 80% VOL - COM UM TEOR DE AGUA IGUAL OU INFERIOR A 1 % VOL (ALCOOL ETILICO ANIDRO COMBUSTIVEL)
0600101;22071090;ALCOOL ETILICO NAO DESNATURADO, COM UM TEOR ALCOOLICO EM VOLUME IGUAL OU SUPERIOR A 80% VOL - OUTROS (ALCOOL ETILICO HIDRATADO COMBUSTIVEL)
0600200;27101259;GASOLINA AUTOMOTIVA A, EXCETO PREMIUM
0600201;27101259;GASOLINA AUTOMOTIVA C, EXCETO PREMIUM
0600202;27101259;GASOLINA AUTOMOTIVA A PREMIUM
0600203;27101259;GASOLINA AUTOMOTIVA C PREMIUM
0600300;27101251;GASOLINA DE AVIACAO
0600400;27101919;QUEROSENES, EXCETO DE AVIACAO
0600500;27101911;QUEROSENE DE AVIACAO
0600600;27101920,27101921,27101929;OLEO DIESEL A, EXCETO S10 E MARITIMO
0600601;27101920;OLEO DIESEL B, EXCETO S10 (MISTURA OBRIGATORIA)
0600602;27101920;OLEO DIESEL B, EXCETO S10 (MISTURAS AUTORIZATIVAS)
0600603;27101920;OLEO DIESEL B, EXCETO S10 (MISTURAS EXPERIMENTAIS)
0600604;27101920;OLEO DIESEL A S10
0600605;27101920;OLEO DIESEL B S10 (MISTURA OBRIGATORIA)
0600606;27101920;OLEO DIESEL B S10 (MISTURAS AUTORIZATIVAS)
0600607;27101920;OLEO DIESEL B S10 (MISTURAS EXPERIMENTAIS)
0600608;27101920;OLEO DIESEL MARITIMO
0600609;27101920;OUTROS OLEOS COMBUSTIVEIS
0600610;27101920;OLEO COMBUSTIVEL DERIVADO DE XISTO
0600611;27101922;OLEO COMBUSTIVEL PESADO
0600700;27101930,27101931,27101932;OLEOS LUBRIFICANTES
0600800;27101990,27101991,27101992,27101993,27101994,27101999;OUTROS OLEOS DE PETROLEO OU DE MINERAIS BETUMINOSOS (EXCETO OLEOS BRUTOS) E PREPARACOES NAO ESPECIFICADAS NEM COMPREENDIDAS NOUTRAS POSICOES, QUE CONTENHAM, COMO CONSTITUINTES BASICOS, 70% OU MAIS, EM PESO, DE OLEOS DE PETROLEO OU DE INERAIS BETUMINOSOS, EXCETO OS QUE CONTENHAM BIODIESEL E EXCETO OS RESIDUOS DE OLEOS
0600801;27101990;GRAXA LUBRIFICANTE;
0600900;27109000,27109100,27109900;RESIDUOS DE OLEOS
0601000;27110000,27111210,27111290,27111300,27111400,27111990,27112910;GAS DE PETROLEO E OUTROS HIDROCARBONETOS GASOSOS, EXCETO GLP, GLGN, GAS NATURAL E GAS DE XISTO.
0601100;27111910;GAS LIQUEFEITO DE PETROLEO EM BOTIJAO DE 13 KG (GLP)
0601101;27111910;GAS LIQUEFEITO DE PETROLEO (GLP), EXCETO EM BOTIJAO DE 13 KG
0601102;27111910;GAS LIQUEFEITO DE PETROLEO EM BOTIJAO DE 13 KG (GLGNN)
0601103;27111910;GAS LIQUEFEITO DE PETROLEO (GLGNN), EXCETO EM BOTIJAO DE 13 KG
0601104;27111910;GAS LIQUEFEITO DE PETROLEO EM BOTIJAO DE 13 KG (GLGNI)
0601105;27111910;GAS LIQUEFEITO DE PETROLEO (GLGNI), EXCETO EM BOTIJAO DE 13 KG
0601106;27111910;GAS LIQUEFEITO DE PETROLEO EM BOTIJAO DE 13 KG (MISTURAS)
0601107;27111910;GAS LIQUEFEITO DE PETROLEO (MISTURAS), EXCETO EM BOTIJAO DE 13 KG
0601200;27111100;GAS NATURAL LIQUEFEITO
0601300;27112100;GAS NATURAL GASOSO
0601400;27112990;GAS DE XISTO
0601500;27130000,27131100,27131200,27132000,27139000;COQUE DE PETROLEO E OUTROS RESIDUOS DE OLEO DE PETROLEO OU DE MINERAIS BETUMINOSOS
0601600;38260000;BIODIESEL E SUAS MISTURAS, QUE NAO CONTENHAM OU QUE CONTENHAM MENOS DE 70%, EM PESO, DE OLEOS DE PETROLEO OU DE OLEOS MINERAIS BETUMINOSOS
0601700;34030000,34031110,34031120,34031190,34031900,34039110,34039120,34039190,34039900;PREPARACOES LUBRIFICANTES, EXCETO AS CONTENDO, COMO CONSTITUINTES DE BASE, 70% OU MAIS, EM PESO, DE OLEOS DE PETROLEO OU DE MINERAIS BETUMINOSOS
0601800;27102000;OLEOS DE PETROLEO OU DE MINERAIS BETUMINOSOS (EXCETO OLEOS BRUTOS) E PREPARACOES NAO ESPECIFICADAS NEM COMPREENDIDAS NOUTRAS POSICOES, QUE CONTENHAM, COMO CONSTITUINTES BASICOS, 70% OU MAIS, EM PESO, DE OLEOS DE PETROLEO OU DE MINERAIS BETUMINOSOS, QUE CONTENHAM BIODIESEL, EXCETO OS RESIDUOS DE OLEOS
0700100;27160000;ENERGIA ELETRICA
0800100;40169990;FERRAMENTAS DE BORRACHA VULCANIZADA NAO ENDURECIDA
0800200;44170010,44170090;FERRAMENTAS, ARMACOES E CABOS DE FERRAMENTAS, DE MADEIRA
